hwWlanStaMac;hwWlanStaUsername;hwWlanStaApMac;hwWlanStaApName;hwWlanStaApGroup;hwWlanStaRadioId;hwWlanStaAssocBand;hwWlanStaSupportBand;hwWlanStaAccessChannel;hwWlanStaRfMode;hwWlanStaHtMode;hwWlanStaMcsVal;hwWlanStaShortGIStatus;hwWlanStaConnectRxRate;hwWlanStaConnectTxRate;hwWlanStaEssName;hwWlanStaBSSID;hwWlanStaSsid;hwWlanStaStatus;hwWlanStaAuthenMethod;hwWlanStaEncryptMethod;hwWlanStaQosMode;hwWlanStaRoamStatus;hwWlanStaVlan;hwWlanStaIP;hwWlanStaIPv6;hwWlanStaGateway;hwWlanStaAssocTime;hwWlanStaAccessTime;hwWlanStaOnlineTime;hwWlanStaAccessOnlineTime;hwWlanStaStatOperMode;hwWlanStaWirelessStatRxFrames;hwWlanStaWirelessRxBytes;hwWlanStaWirelessRxRate;hwWlanStaWirelessStatTxFrames;hwWlanStaWirelessTxBytes;hwWlanStaWirelessTxRate;hwWlanStaPeriodSendDropFrames;hwWlanStaPeriodReSendFrames;hwWlanStaPeriodReSendBytes;hwWlanStaRssi;hwWlanStaNoise;hwWlanStaSnrUs;hwWlanStaRxPowerUs;hwWlanStaChannelUtilRate;hwWlanStaChannelBusyRate;hwWlanStaChannelTxRatio;hwWlanStaChannelRxRatio;hwWlanStaChannelFreeRate;hwWlanStaChannelInterfRate;hwWlanStaPeriodSendFrames;hwWlanStaApId;hwWlanStationUapsdCapacity;hwWlanStationPowerSavePercent;hwWlanStaAssocStartTime;hwWlanStaAssocSuccessTime;hwWlanStaAuthStartTime;hwWlanStaAuthSuccessTime;hwWlanStaDhcpStartTime;hwWlanStaDhcpSuccessTime;hwWlanStaVHTCapable;hwWlanStaVHTTxBFCapable;hwWlanStaMUMIMOCapable;hwWlanStaWpaStartTime;hwWlanStaWpaSuccessTime;hwWlanStaWirelessPacketDelay;hwWlanStaAccessSuccessRate;hwWlanStaTotalAccessTime;hwWlanStaDelayStatus;hwWlanStaAssocDuration;hwWlanStaWpaDuration;hwWlanStaAuthDuration;hwWlanStaDhcpDuration;hwWlanStationDevType;hwWlanStaNaviACID;hwWlanStaWirelessStatRxIPv6Frames;hwWlanStaWirelessRxIPv6Bytes;hwWlanStaWirelessStatTxIPv6Frames;hwWlanStaWirelessTxIPv6Bytes;hwWlanStaGatewayIPv6;hwWlanStaCategoryName;hwWlanStaVendorName;hwWlanStaModelName;hwWlanStaOS;Index Value
00-0A-F5-F0-;;E0-00-84-38-27-00;R0_EST-AP_0.3;EDUROAM;0;1;1;1;dotn;ht20;7;support;72;52;eduroam;E0-00-84-38-27-00;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062262;FE80::979E:DE83:F2A0:D026?2001:648:2D00:3021:63D4:FC56:D706:A6B9?2001:648:2D00:3021:DCB1:38A9:66C6:C85;106221;1708085358;1708085359;123;122;;28859;3127562;101784;52853;75252706;2211816;3;1368;0;-49;0;4500;-4900;56;56;38;3;44;15;8160;5;0;0;0;0;0;0;0;0;nonsupport;nonsupport;nonsupport;0;0;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.02E+12
00-28-F8-BE-;;84-46-FE-A3-E2-C0;KTIRIO_H_R1-AP_1.5;EDUROAM;1;2;3;52;dotac;ht40;9;support;180;270;eduroam;84-46-FE-A3-E2-D0;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;23;10626109;FE80::8D7:40D0:8760:CF9F?2001:648:2D00:3023:41E2:9B21:3F8B:169;106261;1708084807;1708084809;678;676;;16281;1977245;26264;85090;122109618;2090128;1;323;0;-75;0;2000;-7500;2;2;2;0;98;0;32726;56;0;52;1708092006;1708092006;1708092006;1708092009;1708092009;1708092009;support;support;support;1708092009;1708092009;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;4.02E+12
00-41-0E-2C-;;68-4A-AE-AB-AF-60;KTIRIO_B_R1-AP_1.1;EDUROAM;1;2;3;44;dotac;ht40;9;support;270;180;eduroam;68-4A-AE-AB-AF-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;106269;FE80::3D49:DA9F:9BD7:7F69?2001:648:2D00:3023:2CDA:FADC:A9D3:5DB0?2001:648:2D00:3023:A4FB:5C79:C3BD:20D6?2001:648:2D00:3023:95EB:425D:DE6:16FA;106261;1708081978;1708081978;3508;3507;;118632;14109751;4608;145814;87572750;36448;1;316;0;-72;0;2300;-7200;4;4;2;2;96;0;1068;132;0;2;1708089490;1708089490;1708089490;1708089491;1708089491;1708089493;support;support;support;1708089491;1708089491;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;65144478207
00-45-E2-4D-;;B0-08-75-C7-73-20;KTIRIO_I_R1-AP_0.2;EDUROAM;1;2;3;36;dotac;ht40;9;support;200;200;eduroam;B0-08-75-C7-73-30;eduroam;associatedAndAuthenticated;wpa8021X;aes;wmm;yes;23;1062664;FE80::6E6D:CE59:7C91:7FE2?2001:648:2D00:3023:9E16:CC87:CADC:C38D?2001:648:2D00:3023:D909:17EC:5760:35E6;106261;1708081775;-1;3711;80085169;;1304971;200615168;228960;1079405;266965418;305608;0;0;0;-64;0;3100;-6400;4;4;1;2;96;1;32682;149;0;0;1708088974;1708088974;1708088974;1708088974;1708088974;1708088975;support;support;support;1708088974;1708088974;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;69226771651
00-BB-1C-04-;;E0-00-84-38-25-40;R0_EST-AP_0.2;EDUROAM;1;2;3;36;dotac;ht40;9;support;180;200;eduroam;E0-00-84-38-25-50;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062247;FE80::F23:21D1:D56E:4BCB?2001:648:2D00:3021:B1AB:481A:CA32:6E07?2001:648:2D00:3021:F813:2AE3:304A:9FDD;106221;1708081225;1708081225;4262;4260;;7004;2037659;4192;7336;4773895;3168;0;10;0;-58;0;3700;-5800;2;2;1;0;98;1;300;4;0;80;1708092088;1708092088;1708092088;1708092088;1708092088;1708092088;support;support;nonsupport;1708092088;1708092088;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.87E+11
00-C3-0A-33-;;B0-08-75-C7-71-40;KTIRIO_I_R1-AP_1.3;EDUROAM;0;1;1;1;dotn;ht20;9;support;39;57;eduroam;B0-08-75-C7-71-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;24;1062856;FE80::E9C7:FF0C:C6EE:8745?2001:648:2D00:3024:DF6F:D7A2:5206:F28D?2001:648:2D00:3024:555:9355:9884:D271;106281;1708081245;1708081379;4242;4108;;77233;8710159;1088;366465;501469682;1528;0;4;0;-68;0;2700;-6800;12;12;2;0;88;10;83;158;0;87;1708088577;1708088577;1708088577;1708088578;1708088578;1708088579;support;nonsupport;nonsupport;1708088578;1708088578;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;1.95E+11
00-E9-3A-59-;;84-46-FE-A3-E4-60;KTIRIO_Z_R0-AP_2.9;EDUROAM;0;1;3;11;dotn;ht20;15;support;144;144;eduroam;84-46-FE-A3-E4-60;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;24;1062826;FE80::8157:A42B:D402:6180?2001:648:2D00:3024:E5AB:D4F0:B019:DE07;106281;1708081271;1708081271;4217;4216;;241119;23691795;0;169850;75531088;0;0;78;0;-60;0;3500;-6000;19;19;5;0;81;14;0;123;0;74;1708088472;1708088472;1708088472;1708088474;1708088475;1708088475;nonsupport;nonsupport;nonsupport;1708088474;1708088475;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.34E+12
00-E9-3A-70-;;68-4A-AE-AB-A7-00;KTIRIO_I_R1-AP_2.6;EDUROAM;0;1;3;1;dotn;ht20;7;support;72;58;eduroam;68-4A-AE-AB-A7-00;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;23;1062643;FE80::EF2E:ADB1:FF0C:D3F1?2001:648:2D00:3023:EFA3:A321:55AC:59A?2001:648:2D00:3023:54D0:7B0E:340E:9B8D;106261;1708083028;1708083029;2461;2459;;31475;6038464;2256;60244;67052486;3328;0;4;0;-55;0;4000;-5500;19;19;2;0;81;17;222;169;0;91;1708090438;1708090438;1708090438;1708090438;1708090438;1708090439;nonsupport;nonsupport;nonsupport;1708090438;1708090438;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.34E+11
00-EB-D8-50-;;84-46-FE-A3-E8-40;KTIRIO_H_R1-AP_2.8;EDUROAM;0;1;1;6;dotn;ht20;15;support;144;58;eduroam;84-46-FE-A3-E8-40;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;no;22;106247;FE80::2EA:2B3B:862B:21F6?2001:648:2D00:3022:DDD9:1289:7106:446F;106241;1708081257;1708081257;4232;4232;;17117;1610519;376;36525;53665582;672;0;0;0;-59;0;3600;-5900;8;8;2;0;92;6;37;68;0;0;1708088457;1708088457;1708088457;1708088457;1708088457;1708088457;nonsupport;nonsupport;nonsupport;1708088457;1708088457;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.35E+12
02-4A-68-31-;;B0-08-75-C7-6C-60;KTIRIO_Z_R0-AP_1.6;EDUROAM;1;2;3;116;dotac;ht40;9;support;81;108;eduroam;B0-08-75-C7-6C-70;eduroam;associatedAndAuthenticated;wpa2Dot1x;aes;wmm;yes;21;1062231;FE80::5FA8:3B:4AC3:3B3B?2001:648:2D00:3021:930B:BE59:BA3D:B6E0?2001:648:2D00:3021:71F6:D38F:6FC9:EF5A;106221;1708081261;1708081261;4229;4228;;101516;15695550;78152;318933;431847032;2045936;0;28;0;-75;0;2000;-7500;1;1;1;0;99;0;32623;111;0;56;1708091530;1708091530;1708091530;1708091530;1708092366;1708092366;support;support;nonsupport;1708091530;1708091530;0;0;0;normal;0;0;0;0;;-1;0;0;0;0;FE80::D676:A0FF:FE02:ADFF;;;;;2.74E+12
