Κοτόσουπα,"Κοφτό μακαρονάκι με
σάλτσα",Αγκινάρες αλά πολίτα,Μπάμιες
"Κοτόπουλο κοκκινιστό με
φιογκάκια",Γίγαντες,Παστίτσιο,"Κοτόπουλο ψητό με
ριζότο"
"Χοιρινή μπριζόλα ψητή
με πατάτες τηγανιτές",Φακές σούπα,"Χοιρινό αλα μπότσαρη
με πατάτες φούρνου","Μοσχάρι κοκκινιστό
με κριθαράκι"
"Μαρούλι, ρόκα, λόλα,
κρουτόν, λάχανο άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι, μουστάρδα","Ταραμοσαλάτα, ελιές,
ντολμαδάκια,
μαρούλι με κρεμμύδια
φρέσκα,ρόκα λόλα
,λάχανο άσπρο,κόκκινο,
καρότο,παντζάρια","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα, λόλα
λάχανο, άσπρο, κόκκινο,
καρότο","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα, λόλα
λάχανο, άσπρο,
κόκκινο, καρότο"
"Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές"
Ρώσικη,Τυρί φέτα -Γλυκό,Τυρί φέτα,
Κους κους με μανιτάρια,Πουρές με μπέικον,Χορτόσουπα,Σούπα λαχανικών
"Αρακάς λαδερός με
πατάτες","Τριβελάκι με
σάλτσα ντομάτας
Τυρί τριμμένο","Καλαμαράκια
κοκκινιστά με πιλάφι","Φασολάκια
λαδερά με
πατάτες"
"Πατάτες γιαχνί με
μανιτάρια","Πίτσα special (Τυρί-
ζαμπόν-μπέικον,
πιπεριά) ή
μαργαρίτα-πατάτες
τηγανιτές","Πέννες με σάλτσα
αματριτσιάνα","Τορτελίνια
καρμπονάρα"
"Ντομάτα, πιπεριά,
κρεμμύδι, μαρούλι,
κρεμμυδάκι φρέσκο
ρόκα ,λόλα","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα λόλα
λάχανο, άσπρο-κόκκινο,
καρότο","Ντομάτα, πιπεριά,
κρεμμύδι, μαρούλι,
κρεμμυδάκι φρέσκο ρόκα
,λόλα","Ντομάτα, πιπεριά,
κρεμμύδι, μαρούλι,
κρεμμυδάκι φρέσκο
ρόκα ,λόλα"
"Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές"
Τυρί φέτα,,,Τυρί φέτα
