Λαχανόρυζο,Κοτόσουπα,Ψαρόσουπα,Σούπα λαχανικών,"Κοφτό μακαρονάκι με
σάλτσα",Κριθαρότο λαχανικών,Κρεατόσουπα,,
"Πέννες καρμπονάρα
τυρί τριμμένο","Χοιρινό εξοχικό με
πατάτες τηγανιτές","Καλαμαράκια κοκκινιστά με
πιλάφι","Κοτόπουλο ψητό με
λαζανάκι",Φασολάδα,"Χοιρινό αλά μπότσαρη
με πατάτες φούρνου","Μοσχάρι
κοκκινιστό με
χυλοπίτες",,
"Μακαρόνια με
σάλτσα λαχανικών
τυρί τριμμένο","Κοτόπουλο με σως
μουστάρδας
φιογκάκια","Βακαλάος αλά σπετσιώτα
και πανέ με
πατάτες φούρνου","Σουβλάκι χοιρινό με
πατάτες τηγανιτές -πίτα",Φακές σούπα,"Κοτόπουλο κοκκινιστό
με ριζότο",Παστίτσιο,,
"Μαρούλι με κρεμμύδια
φρέσκα, ρόκα-λόλα ,
λάχανο, άσπρο-
κόκκινο, καρότο","Μαρούλι, ρόκα, λόλα,
κρουτόν,λάχανο
άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι,μουστάρδα","Μπρόκολο ή κουνουπίδι
βραστό,καρότο,μαρούλι με
κρεμμύδια φρέσκα,ρόκα,
λόλα, λάχανο άσπρο
κόκκινο ,μανιτάρια","Μαρούλι, ρόκα, λόλα,
κρουτόν,λάχανο
άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι,μουστάρδα","Ταραμοσαλάτα, ελιές,
παντζάρια,
μαρούλι με κρεμμύδια
φρέσκα-ρόκα λόλα
,λάχανο άσπρο-
κόκκινο,καρότο","Μαρούλι με
κρεμμυδάκι φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,
καρότο","Μαρούλι με
κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,
καρότο",,
"Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές",,
,,Αναψυκτικό,Τζατζίκι,Τυρί Φέτα - Γλυκό,Τυρί φέτα,,,
Μινεστρόνε,Σούπα ζυμαρικών,Τοματόσουπα,Κους κους με μανιτάρια,Πουρέ με μπέικον,Χορτόσουπα,Σούπα του Σεφ,,
Σπανακόρυζο,"Κασερόπιτα με
πατάτες φούρνου","Μακαρόνια με κιμά
τυρί τριμμένο","Αρακάς λαδερός με
πατάτες","Τριβελάκι με
σάλτσα ντομάτας
Τυρί τριμμένο","Μακαρόνια με σάλτσα
αματριτσιάνα-
τυρί τριμμένο","Τορτελίνια
καρμπονάρα",,
"Σουτζουκάκια
κοκκινιστά με πιλάφι","Σπετσοφάι βολιώτικο -
ριζότο","Ομελέτα με ή χωρίς
αλλαντικά και τυριά-
πατάτες τηγανιτές","Γιουβέτσι
λαχανικών","Πίτσα special (Τυρί-
ζαμπόν-μπέικον,
πιπεριά) ή
μαργαρίτα-πατάτες
τηγανιτές","Πατάτες γιαχνί με
μανιτάρια","Φασολάκια λαδερά
με πατάτες",,
"Μαρούλι με
κρεμμυδάκι φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο
,κόκκινο,καρότο","Μαρούλι με κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,καρότο","Μαρούλι με κρεμμυδάκι
φρέσκο, ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,καρότο","Ντομάτα ,πιπεριά,
κρεμμύδι ,λάχανο
άσπρο,κόκκινο,
καρότο","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα, λόλα
λάχανο, άσπρο-
κόκκινο, καρότο","Ντομάτα ,πιπεριά,
κρεμμύδι ,λάχανο
άσπρο,κόκκινο,
καρότο","Ντομάτα ,πιπεριά,
κρεμμύδι ,λάχανο
άσπρο,κόκκινο,
καρότο",,
"Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές","Φρούτο Εποχής 2
επιλογές"
Γάλα,,,Τυρί Φέτα,,Γιαούρτι,Τυρί Φέτα
