Λαχανόρυζο,Κοτόσουπα,Ψαρόσουπα,Σούπα λαχανικών,,"Κοφτό μακαρονάκι με
σάλτσα",,Κοτόσουπα,,,
"Πέννες καρμπονάρα
τυρί τριμμένο","Χοιρινό εξοχικό με
ριζότο","Τσιπούρα σχάρας με
σάλτσα
λαδολέμονο,πατάτες,
μπρόκολο,καρότο","Κοτόπουλο ψητό με
λαζανάκι",,Ρεβύθια,,"Χοιρινό αλά
μπότσαρη με
πατάτες φούρνου",,,
"Μακαρόνια με σάλτσα
λαχανικών
τυρί τριμμένο","Κοτόπουλο με σως
μουστάρδας -
φιογκάκια","Χταπόδι κοκκινιστό με
μακαρονάκι κοφτό","Σουβλάκι χοιρινό με
πατάτες τηγανιτές -πίτα",,Φακές σούπα,,"Κοτόπουλο
γιουβέτσι",,,
"Μαρούλι με κρεμμύδια
φρέσκα, ρόκα-λόλα
ντομάτα, λάχανο,
άσπρο-κόκκινο, καρότο
πιπεριά, κρεμμύδι","Μαρούλι, ρόκα, λόλα,
κρουτόν,λάχανο
άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι,μουστάρδα","Μπρόκολο ή
κουνουπίδι
βραστό,καρότο,μαρούλι
με κρεμμύδια
φρέσκα,ρόκα, λόλα,
λάχανο άσπρο κόκκινο
,μανιτάρια","Μαρούλι, ρόκα, λόλα,
κρουτόν,λάχανο άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι,μουστάρδα",,"Ταραμοσαλάτα, ελιές,
μαρούλι με κρεμμύδια
φρέσκα,
ρόκα-λόλα ,ντομάτα,
πιπεριά,κρεμμύδι,
λάχανο άσπρο,
κόκκινο ,καρότο,
παντζάρια",,"Μαρούλι με
κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,
καρότο",,,
Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,,Φρούτο 2 επιλογές,,Φρούτο 2 επιλογές,,,
,,Αναψυκτικό,Τζατζίκι,,Τυρί Φέτα- Γλυκό,,Τυρί φέτα,,,
Μινεστρόνε,Σούπα ζυμαρικών,Κους κους με μανιτάρια,Σούπα του Σεφ,Πουρές με μπέικον,,,Τοματόσουπα,,,
Σπανακόρυζο,"Ζαμπονοτυρόπιτα –
πατάτες φούρνου","Ομελέτα με ή χωρίς
αλλαντικά και τυριά
πατάτες τηγανιτές","Αρακάς λαδερός με
πατάτες","Τριβελάκι με σάλτσα
ντομάτας
τυρί τριμμένο",,,"Πέννες με σάλτσα
αματριτσιάνα",,,
"Κεφτεδάκια κοκκινιστά
με ριζότο","Σπετσοφάι Βολιώτικο
ριζότο","Μακαρόνια με κιμά-
τυρί τριμμένο","Πατάτες γιαχνί με
μανιτάρια","Πίτσα special
(τυρί,ζαμπόν
μπέικον,πιπέρια ή
μαργαρίτα,πατάτες
τηγανιτές",,,"Καλαμαράκια
κοκκινιστά με
πιλάφι",,,
"Μαρούλι με κρεμμύδια
φρέσκα, ρόκα-λόλα
λάχανο, άσπρο-κόκκινο,
καρότο","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα-λόλα
λάχανο, άσπρο-
κόκκινο, καρότο","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα-λόλα
λάχανο, άσπρο-
κόκκινο, καρότο","Ντομάτα ,πιπεριά,
κρεμμύδι ,λάχανο
άσπρο,κόκκινο,
καρότο","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα-λόλα
λάχανο, άσπρο-
κόκκινο, καρότο","Μαρούλι με
κρεμμυδάκι
φρέσκο,
ρόκα,λόλα,λάχανο
άσπρο ,κόκκινο,
καρότο"
Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2επιλογές
,,Γάλα,Τυρί Φέτα,,
