Λαχανόρυζο,Κοτόσουπα,Ψαρόσουπα,Σούπα λαχανικών
"Μακαρόνια με σάλτσα
λαχανικών
τυρί τριμμένο","Κοτόπουλο με σως
μουστάρδας -φιογκάκια","Καλαμαράκια κοκκινιστά
με πιλάφι","Κοτόπουλο ψητό με
λαζανάκι"
"Σουφλέ με πέννες και
πέννες καρμπονάρα
τυρί τριμμένο","Χοιρινό κοκκινιστό με
ριζότο","Βακαλάος αλά σπετσιώτα
και πανέ με πατάτες
φούρνου","Χοιρινή μπριζόλα ψητή με
πατάτες τηγανιτές"
"Μαρούλι με κρεμμύδια
φρέσκα, ρόκα, λόλα
λάχανο, άσπρο,κόκκινο,
καρότο,ελιές","Μαρούλι, ρόκα, λόλα,
κρουτόν, λάχανο άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι, μουστάρδα","Μπρόκολο ή κουνουπίδι
βραστό, καρότο, μαρούλι
με κρεμμύδια φρέσκα,
ρόκα, λόλα, λάχανο
άσπρο,
κόκκινο,μανιτάρια","Μαρούλι, ρόκα, λόλα,
κρουτόν, λάχανο άσπρο-
κόκκινο,πολίτικη,
καλαμπόκι, μουστάρδα"
Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές
,Ρώσικη,Αναψυκτικό,
Μινεστρόνε,Σούπα ζυμαρικών,Τοματόσουπα,Κους κους με μανιτάρια
Γιουβέτσι λαχανικών,"Σπανακοτυρόπιτα με
πατάτες φούρνου","Μακαρόνια με σάλτσα
αματριτσιάνα
τυρί τριμμένο","Αρακάς λαδερός με
πατάτες"
"Σουτζουκάκια κοκκινιστά
με ριζότο","Σπετσοφάι Βολιώτικο
ριζότο","Ομελέτα με ή χωρίς
αλλαντικά και τυριά
πατάτες τηγανιτές","Πατάτες γιαχνί με
μανιτάρια"
"Μαρούλι με κρεμμύδια
φρέσκα, ρόκα, λόλα
λάχανο, άσπρο, κόκκινο,
καρότο","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα, λόλα
λάχανο, άσπρο, κόκκινο,
καρότο","Μαρούλι με κρεμμύδια
φρέσκα, ρόκα, λόλα
λάχανο, άσπρο, κόκκινο,
καρότο","Ντομάτα, πιπεριά,
κρεμμύδι, μαρούλι,
κρεμμυδάκι φρέσκο
ρόκα ,λόλα"
Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές,Φρούτο 2 επιλογές
,Γάλα,Γιαούρτι,Τυρί φέτα
